start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,quantity_other_diesel,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,fuel_constraints_other,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_other,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,wash_constraints_other,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,wash_constraints_other_001,exchange_rate,exchange_rate_result,note_exchange_rate,mrk_supply_routes,mrk_supply_issues,mrk_supply_issues/dmg_infra_market,mrk_supply_issues/dmg_infra_sorrounding,mrk_supply_issues/dmg_storage,mrk_supply_issues/move_restriction,mrk_supply_issues/other,mrk_supply_issues/did_not_answer,mrk_supply_issues_other,mrk_dmg_infra,mrk_dmg_infra/road,mrk_dmg_infra/electrical,mrk_dmg_infra/water,mrk_dmg_infra/communication,mrk_dmg_infra/other,mrk_dmg_infra_other,mrk_increse_fuel_50,mrk_increse_fuel_100,mrk_increse_WASH_50,mrk_increse_WASH_100,mrk_increse_water_50,mrk_increse_water_100,further_comments,__version__,_id,_uuid,_submission_time,_validation_status,_index
2019-06-29T18:15:33.636+03:00,2019-06-29T18:19:44.823+03:00,2019-06-29,ee.humanitarianresponse.info:6zeNqVUjeyQPw603,2019-06-29,شرهان مشلي,NFHD,,YE23,YE2312,Antar shop,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,Vendor_did_not_answer,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,yes,yes,,170,170,,,yes,yes,,110,110,,,yes,yes,,490,490,,,YE23,Wholesaler,,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,2,Private,Pumping_Station_or_Borehole,no,1900,2,,2,no,,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,560,,yes,did_not_answer,0,0,0,0,0,1,,,,,,,,,yes,no,yes,no,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,60036756,2318bba1-b9e9-4582-9d79-3b2210e786ed,2019-06-29T15:23:59,,84
2019-06-29T18:19:47.954+03:00,2019-06-29T18:22:46.523+03:00,2019-06-29,ee.humanitarianresponse.info:6zeNqVUjeyQPw603,2019-06-29,شرهان مشلي,NFHD,,YE23,YE2312,Ash sha'ab shop,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,Vendor_did_not_answer,,Price_inflation Shortage_of_demand Supply_shortage Transportation_issues,1,0,1,0,1,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,110,110,,,no,,,,,,,yes,yes,,160,160,,,yes,yes,,110,110,,,yes,yes,,500,500,,,YE23,Wholesaler,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,2,Private,Pumping_Station_or_Borehole,no,1800,1,,1,no,,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,560,,yes,did_not_answer,0,0,0,0,0,1,,,,,,,,,yes,yes,yes,no,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,60036757,8b4ecade-47fc-4db9-bbcd-5478458ab33b,2019-06-29T15:24:00,,85
2019-06-24T08:46:13.193+03:00,2019-06-24T10:07:22.460+03:00,2019-06-24,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-24,Abduh,NRC,,YE17,YE1713,Qufl Shamr,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,650,650,,,yes,yes,,500,500,,,YE18,7,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,150,150,,,yes,yes,,120,120,,,yes,no,500,500,100,,,yes,yes,,700,700,,,YE17,Vendor,2,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,3500,8,,8,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,542,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,59343984,421867cf-11fa-4c50-ad86-107f85d7e341,2019-06-24T07:06:19,,17
2019-06-23T12:39:36.361+03:00,2019-06-24T10:07:47.404+03:00,2019-06-23,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-23,Abduh,NRC,,YE17,YE1713,Shamr,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,400,400,,,yes,yes,,450,450,,,YE18,7,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,yes,,550,550,,,YE17,Vendor,2,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,4000,10,,10,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,540,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,59344016,3600515b-a852-4456-b141-bf4bed816d28,2019-06-24T07:06:40,,18
2019-06-23T11:11:46.858+03:00,2019-06-24T10:57:13.542+03:00,2019-06-23,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-23,Abduuh,NRC,,YE17,YE1713,Shamr,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,650,650,,,yes,yes,,435,435,,,YE18,7,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,130,130,,,yes,yes,,150,150,,,yes,yes,,120,120,,,yes,no,500,500,100,,,yes,yes,,550,550,,,YE17,Vendor,4,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,3000,8,,8,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,540,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,59477443,c71ae791-5173-4248-8a9d-792f0a24866e,2019-06-25T09:08:15,,25
2019-06-23T09:53:46.595+03:00,2019-06-24T10:08:23.838+03:00,2019-06-23,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-23,Mohammed,NRC,,YE17,YE1715,Almadinah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,375,375,,,yes,yes,,440,440,,,YE18,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,200,200,,,yes,yes,,150,150,,,yes,no,500,550,110,,,yes,yes,,650,650,,,YE17,Wholesaler,5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,6500,20,,20,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,550,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,59344072,f57d457f-87fd-438c-97e4-9528200ce49d,2019-06-24T07:07:16,,19
2019-06-23T11:00:12.501+03:00,2019-06-24T10:08:37.911+03:00,2019-06-23,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-23,Mohammed,NRC,,YE17,YE1715,Alqat Market,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,375,375,,,yes,yes,,440,440,,,YE18,3,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,170,170,,,yes,yes,,150,150,,,yes,no,500,500,100,,,yes,yes,,650,650,,,YE17,Vendor,6,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,6000,20,,20,no,,,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,,yes,550,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,59477420,c4de265a-9469-43f1-9d8b-efdc96a52f65,2019-06-25T09:08:09,,23
2019-06-23T11:06:11.396+03:00,2019-06-24T10:56:49.839+03:00,2019-06-23,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-23,Mohammed,NRC,,YE17,YE1715,Aldodah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,375,375,,,yes,yes,,440,440,,,YE18,5,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,150,150,,,yes,yes,,150,150,,,yes,no,500,550,110,,,yes,yes,,650,650,,,YE17,Vendor,5,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,6500,20,,20,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,550,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,59477431,fbe0f54f-d908-45fb-8317-4a4a41bc1ea3,2019-06-25T09:08:12,,24
2019-06-25T12:08:56.545+03:00,2019-06-25T12:17:48.850+03:00,2019-06-25,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-24,Buya,NRC,,YE18,YE1802,Alluhyah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,480,480,,,yes,yes,,430,430,,,YE18,8,Price_inflation Insecurity_and_instability Supply_shortage,1,0,0,1,1,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,no,20,400,200,,,yes,yes,,130,130,,,yes,yes,,120,120,,,yes,yes,,450,450,,,YE18,Vendor,5,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,2000,20,,20,no,,,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,,yes,550,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,59572300,55225f1b-6c15-4a88-89d8-2bffcd6dcd67,2019-06-26T05:53:49,,27
2019-06-25T12:17:48.986+03:00,2019-06-25T12:22:37.658+03:00,2019-06-25,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-25,Buya,NRC,,YE18,YE1802,Alluheya,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,480,480,,,yes,yes,,430,430,,,YE18,5,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,no,20,400,200,,,yes,yes,,130,130,,,yes,no,170,160,94,,,yes,yes,,500,500,,,YE18,Vendor,5,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,2000,20,,20,no,,,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,,yes,550,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,59572308,9b3038be-ae84-4834-847f-a29916ad6648,2019-06-26T05:53:51,,28
2019-06-25T12:22:37.820+03:00,2019-06-25T12:27:27.184+03:00,2019-06-25,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-25,Buya,NRC,,YE18,YE1802,Alluheya,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,480,480,,,yes,yes,,430,430,,,YE18,5,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,no,20,400,200,,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,yes,,550,550,,,YE18,Vendor,4,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,2000,20,,20,no,,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,550,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,59572315,dc39f61b-f1b7-4e50-b7c2-0ffa361060b6,2019-06-26T05:53:53,,29
2019-06-26T08:54:33.281+03:00,2019-06-26T09:14:18.377+03:00,2019-06-26,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-25,Ali,NRC,,YE18,YE1806,Al Qanawis,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,YE18,5,Price_inflation Insecurity_and_instability Supply_shortage Transportation_issues,1,0,0,1,1,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,150,150,,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,yes,,400,400,,,YE18,Vendor,3,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability,1,1,1,1,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,3000,3,,5,no,,,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,,yes,554,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,60131173,a20d4ea5-a77c-4e11-b123-db12b741ba6e,2019-06-30T19:12:31,,91
2019-06-26T09:14:18.471+03:00,2019-06-26T09:21:26.655+03:00,2019-06-26,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-25,Ali,NRC,,YE18,YE1806,Al Qanawis,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,370,370,,,yes,yes,,450,450,,,YE18,3,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,150,150,,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,yes,,500,500,,,YE18,Vendor,2,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,3000,2,,5,no,,,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,,yes,555,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,60131181,0dbc206c-b1ba-4bb6-9159-caff2268b561,2019-06-30T19:12:41,,92
2019-06-26T09:21:26.817+03:00,2019-06-26T09:28:09.081+03:00,2019-06-26,ee.humanitarianresponse.info:hdwcjvsb10CQu4Sd,2019-06-25,Ali,NRC,,YE18,YE1806,Al Qanawis,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,YE18,5,Price_inflation Insecurity_and_instability Supply_shortage Government_regulations,1,0,0,1,1,1,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,150,150,,,yes,yes,,120,120,,,yes,yes,,100,100,,,yes,yes,,500,500,,,YE18,Vendor,2,Price_inflation Liquidity_shortage Insecurity_and_instability,1,1,0,1,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,3000,3,,5,no,,,Price_inflation Insecurity_and_instability Supply_shortage Transportation_issues,1,0,0,1,1,0,1,0,0,0,0,,yes,555,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,None,v2ZtbFxdMLUeS6K3smMjSx,60131190,6d6d749c-4333-44c5-a6b9-4aee1526db50,2019-06-30T19:13:03,,93
2019-07-01T22:49:52.695+03:00,2019-07-01T22:57:02.345+03:00,2019-07-01,ee.humanitarianresponse.info:v9gGFN8nybFd7mqI,2019-06-17,منصور عبدالله علي,ROC,,YE15,YE1513,Al Qabilah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,520,520,,,yes,yes,,535,535,,,YE24,3,Price_inflation Insecurity_and_instability Supply_shortage Government_regulations Transportation_issues,1,0,0,1,1,1,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,165,165,,,yes,yes,,135,135,,,yes,yes,,210,210,,,yes,yes,,130,130,,,yes,yes,,1000,1000,,,YE24,Wholesaler,2,Insecurity_and_instability Supply_shortage Government_regulations Transportation_issues,0,0,0,1,1,1,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,570,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,60253125,a42211cd-3a01-49b7-8f3c-1e6ad3a0486c,2019-07-01T19:57:08,,16
2019-07-01T22:33:32.413+03:00,2019-07-01T22:49:52.086+03:00,2019-07-01,ee.humanitarianresponse.info:v9gGFN8nybFd7mqI,2019-06-16,منصور عبدالله علي,ROC,,YE15,YE1513,Al Qabilah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,510,510,,,yes,yes,,530,530,,,YE24,3,Insecurity_and_instability Government_regulations Transportation_issues,0,0,0,1,0,1,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,160,160,,,yes,yes,,130,130,,,yes,yes,,210,210,,,yes,yes,,130,130,,,yes,yes,,950,950,,,YE24,Wholesaler,3,Insecurity_and_instability Supply_shortage Government_regulations Transportation_issues,0,0,0,1,1,1,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,570,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,60252954,8474f436-3e25-4b0b-b7f9-ffdf22360377,2019-07-01T19:49:59,,17
2019-07-01T21:56:42.030+03:00,2019-07-01T22:33:32.027+03:00,2019-07-01,ee.humanitarianresponse.info:v9gGFN8nybFd7mqI,2019-06-16,منصور عبدالله علي,ROC,,YE15,YE1513,Al Qabilah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,500,,,yes,yes,,525,525,,,YE24,3,Insecurity_and_instability Transportation_issues,0,0,0,1,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,120,120,,,yes,yes,,200,200,,,yes,yes,,140,140,,,yes,yes,,900,900,,,YE24,Wholesaler,3,Insecurity_and_instability Transportation_issues,0,0,0,1,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,560,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,60252348,3bbc966e-c46a-40d5-821c-7a6c42d9fd9c,2019-07-01T19:33:40,,18
2019-07-04T18:46:32.706+03:00,2019-07-04T22:24:54.375+03:00,2019-07-04,ee.humanitarianresponse.info:v9gGFN8nybFd7mqI,2019-06-22,عبد الله خميس جمعان,ROC,,YE32,YE3201,Hdaibo,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,235,235,,,yes,yes,,240,240,,,YE24,4,Insecurity_and_instability Government_regulations Transportation_issues,0,0,0,1,0,1,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,125,125,,,yes,yes,,145,145,,,yes,yes,,135,135,,,yes,yes,,700,700,,,YE19,Wholesaler,4,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,850,9,,25,yes,4500,9000,Insecurity_and_instability Government_regulations Transportation_issues,0,0,0,1,0,1,1,0,0,0,0,,yes,565,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,60656703,dfe1120c-79c2-470d-a3ab-deb296c38b99,2019-07-04T19:25:02,,177
2019-07-04T22:24:54.662+03:00,2019-07-04T22:34:28.409+03:00,2019-07-04,ee.humanitarianresponse.info:v9gGFN8nybFd7mqI,2019-06-22,عبدالله خميس جمعان,ROC,,YE32,YE3201,Hdaibo,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,230,230,,,yes,yes,,245,245,,,YE24,4,Insecurity_and_instability Government_regulations,0,0,0,1,0,1,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,145,145,,,yes,yes,,135,135,,,yes,yes,,150,150,,,yes,yes,,125,125,,,yes,yes,,800,800,,,YE24,Wholesaler,5,Insecurity_and_instability Government_regulations Transportation_issues,0,0,0,1,0,1,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,850,5,,10,yes,5000,10000,Insecurity_and_instability Government_regulations Transportation_issues,0,0,0,1,0,1,1,0,0,0,0,,yes,565,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,60657330,23404d85-2938-46f8-a7dc-f8873df5f169,2019-07-04T19:34:33,,178
2019-07-04T22:34:28.886+03:00,2019-07-04T22:39:47.790+03:00,2019-07-04,ee.humanitarianresponse.info:v9gGFN8nybFd7mqI,2019-06-23,عبد الله خميس جمعان,ROC,,YE32,YE3201,Hdaibo,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,240,240,,,yes,yes,,245,245,,,YE21,5,Insecurity_and_instability Supply_shortage Government_regulations Transportation_issues,0,0,0,1,1,1,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,130,130,,,yes,yes,,120,120,,,yes,yes,,150,150,,,yes,yes,,130,130,,,yes,yes,,800,800,,,YE19,Wholesaler,3,Insecurity_and_instability Supply_shortage Government_regulations Transportation_issues,0,0,0,1,1,1,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,900,8,,15,yes,6000,10000,Insecurity_and_instability Supply_shortage Government_regulations Transportation_issues,0,0,0,1,1,1,1,0,0,0,0,,yes,565,,yes,dmg_storage move_restriction,0,0,1,1,0,0,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,60658007,66b69268-eeef-439e-b24b-12c518a8350c,2019-07-04T19:39:54,,179
